gene,kTotal,kWithin,kOut,kDiff,module
ENSG00000071243.15,367.943882133693,367.943882133693,0,367.943882133693,72
ENSG00000132842.13,367.619842922983,367.619842922983,0,367.619842922983,72
ENSG00000115310.17,367.284961881379,367.284961881379,0,367.284961881379,72
ENSG00000119899.12,367.265178234677,367.265178234677,0,367.265178234677,72
ENSG00000168216.10,367.231227192212,367.231227192212,5.6843418860808e-14,367.231227192212,72
ENSG00000164168.7,367.202014195009,367.202014195009,0,367.202014195009,72
ENSG00000056097.15,366.91556708784,366.91556708784,0,366.91556708784,72
ENSG00000196505.10,366.483555452298,366.483555452298,0,366.483555452298,72
ENSG00000185787.14,366.092769369014,366.092769369014,0,366.092769369014,72
ENSG00000071537.13,366.088104317247,366.088104317247,0,366.088104317247,72
ENSG00000121879.3,365.757753196431,365.757753196431,0,365.757753196431,72
ENSG00000116266.10,365.532234735717,365.532234735717,5.6843418860808e-14,365.532234735717,72
ENSG00000128607.13,365.3989901165,365.3989901165,0,365.3989901165,72
ENSG00000168887.10,365.261780774322,365.261780774321,1.13686837721616e-13,365.261780774321,72
ENSG00000145868.16,365.052500281287,365.052500281287,0,365.052500281287,72
ENSG00000163513.17,364.898608884068,364.898608884068,0,364.898608884068,72
ENSG00000196116.7,364.600154006857,364.600154006857,0,364.600154006857,72
ENSG00000138071.13,363.77196478722,363.77196478722,0,363.77196478722,72
ENSG00000070476.14,363.687269868606,363.687269868606,0,363.687269868606,72
ENSG00000109180.14,363.45596028414,363.45596028414,0,363.45596028414,72
