gene,kTotal,kWithin,kOut,kDiff,module
ENSG00000163939.18,297.5044712,191.4243556,106.0801156,85.34424001,34
ENSG00000177981.10,297.4983134,268.4178537,29.08045974,239.3373939,72
ENSG00000135316.17,297.3365175,257.8501583,39.48635922,218.3637991,34
ENSG00000136450.12,296.9653624,202.822958,94.14240446,108.6805535,72
ENSG00000056586.15,296.6320712,172.0080823,124.6239889,47.38409333,72
ENSG00000160714.9,296.5038617,192.0097034,104.4941583,87.51554518,72
ENSG00000163510.13,296.4000839,254.0425707,42.35751322,211.6850575,72
ENSG00000164985.14,296.186665,160.8461463,135.3405186,25.50562771,72
ENSG00000168538.15,295.9840376,184.5068642,111.4771734,73.02969088,72
ENSG00000172262.11,295.5211218,182.1849989,113.3361229,68.84887594,34
ENSG00000174227.15,295.0504677,170.5421543,124.5083134,46.03384084,34
ENSG00000085832.16,294.9963196,216.0007819,78.99553765,137.0052443,72
ENSG00000159202.17,294.7073867,194.951436,99.75595073,95.19548528,34
ENSG00000145715.14,294.6161174,225.6369362,68.97918115,156.6577551,72
ENSG00000105819.13,294.4229529,180.1600963,114.2628566,65.89723973,34
ENSG00000118579.12,294.3078207,211.064558,83.24326269,127.8212954,72
ENSG00000157916.19,294.1844819,257.4067438,36.77773806,220.6290057,72
ENSG00000075292.18,294.0768979,262.5677861,31.50911185,231.0586742,72
ENSG00000124356.15,294.0385316,198.6827468,95.35578487,103.3269619,72
ENSG00000144635.8,293.9806603,273.5788815,20.40177877,253.1771028,72
ENSG00000132300.18,293.8352834,282.8406724,10.99461095,271.8460615,34
ENSG00000154727.10,293.699644,225.7190207,67.9806233,157.7383974,72
ENSG00000028310.17,293.6920458,280.7936854,12.89836034,267.8953251,34
ENSG00000111605.16,293.202954,203.956131,89.24682299,114.709308,34
ENSG00000185787.14,292.990546,253.6250295,39.36551657,214.2595129,72
ENSG00000165819.11,292.9099838,239.7861354,53.1238484,186.662287,34
ENSG00000110075.14,292.4458561,224.8867985,67.55905759,157.3277409,72
ENSG00000158435.7,292.3632186,151.6484757,140.7147429,10.93373275,72
ENSG00000211460.11,292.0186287,122.0314193,169.9872093,-47.95578997,34
ENSG00000113300.11,291.9560522,181.1163816,110.8396706,70.27671104,72
ENSG00000140943.16,291.9231384,249.810427,42.11271134,207.6977157,34
ENSG00000110321.16,291.9182164,236.7363014,55.18191492,181.5543865,72
ENSG00000162819.11,291.529682,277.4561449,14.07353711,263.3826078,72
ENSG00000120733.13,291.2713415,251.2726433,39.99869819,211.2739451,72
ENSG00000090054.13,291.2204027,269.529969,21.69043372,247.8395353,72
ENSG00000139644.12,291.1963377,239.1791873,52.01715043,187.1620368,72
ENSG00000188529.14,290.6838136,223.8887114,66.79510219,157.0936092,34
ENSG00000086102.18,290.4894912,281.3108111,9.178680059,272.132131,34
ENSG00000185009.12,290.1075221,170.1795694,119.9279527,50.25161662,72
ENSG00000168385.17,290.0991289,139.1404568,150.9586721,-11.81821526,72
ENSG00000035928.15,289.9058901,257.8264078,32.07948229,225.7469255,34
ENSG00000105127.8,289.6047933,231.0717086,58.53308472,172.5386239,34
ENSG00000163904.12,289.4612309,233.2317036,56.22952727,177.0021764,72
ENSG00000145388.14,289.4456769,172.6893984,116.7562785,55.93311995,72
ENSG00000107938.17,289.211871,183.2576655,105.9542055,77.30345995,72
ENSG00000134086.7,288.356985,178.2450272,110.1119578,68.13306939,72
ENSG00000110696.9,288.1592053,156.8476732,131.3115321,25.53614109,34
ENSG00000139624.12,288.0120986,91.77138099,196.2407176,-104.4693366,34
ENSG00000069248.11,287.9830367,210.1560757,77.82696098,132.3291147,34
ENSG00000140455.16,287.8109649,265.792916,22.01804894,243.7748671,72
ENSG00000079387.13,287.7179611,141.983254,145.7347071,-3.751453079,34
ENSG00000089022.13,287.5995876,220.3319214,67.26766625,153.0642551,34
ENSG00000036054.12,287.5846904,256.0987915,31.48589892,224.6128926,72
ENSG00000156875.13,287.4862194,230.3265876,57.15963184,173.1669557,72
ENSG00000037474.14,287.0103717,218.6509118,68.35945989,150.2914519,34
ENSG00000088205.12,286.84222,251.5259651,35.31625489,216.2097102,34
ENSG00000028528.14,286.6667788,245.0687668,41.59801199,203.4707548,72
ENSG00000118260.14,286.5179686,242.1712489,44.34671971,197.8245292,72
ENSG00000102893.15,286.2005657,197.7503386,88.45022717,109.3001114,72
ENSG00000039123.15,286.003814,172.9616773,113.0421367,59.91954062,34
ENSG00000131507.10,285.5391412,240.6153058,44.92383542,195.6914704,72
ENSG00000053900.10,285.2678498,165.5759383,119.6919115,45.88402676,72
ENSG00000099940.11,285.187948,232.1279768,53.05997125,179.0680055,72
ENSG00000257218.5,285.0575778,246.1681044,38.88947338,207.278631,34
ENSG00000132842.13,285.0276086,234.947117,50.08049159,184.8666254,72
ENSG00000151461.19,284.9569603,220.1426824,64.81427784,155.3284046,72
ENSG00000029363.16,284.942914,161.2586925,123.6842214,37.57447107,72
ENSG00000143379.12,284.7931816,190.243889,94.54929256,95.69459646,72
ENSG00000119689.14,284.488518,249.5134054,34.97511251,214.5382929,34
ENSG00000132294.14,284.1985679,166.9529231,117.2456448,49.70727821,72
ENSG00000121067.17,284.0002569,232.1337264,51.86653047,180.2671959,72
ENSG00000126581.12,283.9005445,243.0600623,40.84048222,202.21958,72
ENSG00000112679.14,283.774122,250.4461015,33.32802053,217.118081,72
ENSG00000156599.10,283.5230023,169.9719302,113.5510721,56.42085813,72
ENSG00000196505.10,283.5157178,236.9157797,46.59993815,190.3158415,72
ENSG00000157106.16,283.1921845,186.1692561,97.02292841,89.14632764,72
ENSG00000048828.16,283.1065495,214.6933858,68.41316374,146.2802221,72
ENSG00000119760.15,283.0957165,261.1953802,21.90033623,239.295044,34
ENSG00000197343.10,283.0689256,191.1894387,91.87948682,99.30995192,72
ENSG00000048649.13,283.0370398,154.0560427,128.9809972,25.07504548,72
ENSG00000198000.11,282.75278,187.4513007,95.30147935,92.14982134,34
ENSG00000137845.14,282.6644697,261.027919,21.6365507,239.3913683,72
ENSG00000132463.13,282.4915432,182.0444028,100.4471404,81.59726232,34
ENSG00000147526.19,282.3130902,172.9061526,109.4069377,63.4992149,72
ENSG00000240682.9,282.1408371,232.4189334,49.72190362,182.6970298,72
ENSG00000183735.9,281.9989745,267.3190261,14.67994843,252.6390776,72
ENSG00000083312.17,281.8598051,257.0376101,24.82219496,232.2154151,72
ENSG00000136709.11,281.8344435,229.1231933,52.71125016,176.4119432,34
ENSG00000114331.13,281.7800043,268.5821588,13.19784548,255.3843133,72
ENSG00000122257.18,281.7331694,158.1814824,123.551687,34.62979543,72
ENSG00000166164.15,281.7234711,239.4636517,42.25981937,197.2038324,34
ENSG00000070367.15,281.4579704,197.6950673,83.76290312,113.9321641,72
ENSG00000141644.17,281.3853472,170.8154354,110.5699118,60.24552359,34
ENSG00000047315.15,280.9450006,229.7764174,51.16858314,178.6078343,72
ENSG00000166619.12,280.7458648,160.0934978,120.652367,39.4411308,34
ENSG00000148153.13,280.3409385,205.9302012,74.41073727,131.5194639,72
ENSG00000011454.16,280.2034745,100.735687,179.4677875,-78.73210044,72
ENSG00000064313.11,280.162162,200.9471389,79.21502312,121.7321158,34
ENSG00000115808.11,279.6844926,219.8212679,59.86322469,159.9580432,72
ENSG00000148672.8,279.5926877,182.7827766,96.80991108,85.9728655,34
ENSG00000164941.13,279.2869435,253.776092,25.51085157,228.2652404,72
ENSG00000111877.17,279.2168008,147.6853379,131.5314629,16.15387492,72
ENSG00000075539.13,279.1023499,144.9116146,134.1907353,10.72087934,72
ENSG00000143207.19,279.0424247,268.6639753,10.37844948,258.2855258,72
ENSG00000132388.12,279.0181285,209.9050601,69.11306846,140.7919916,72
ENSG00000119231.10,278.9361863,165.3688422,113.5673442,51.80149803,34
ENSG00000163755.8,278.9171452,175.1946348,103.7225104,71.47212434,34
ENSG00000125779.21,278.885585,249.8328698,29.05271522,220.7801546,72
ENSG00000138750.14,278.6155002,215.3844569,63.23104328,152.1534136,34
ENSG00000138071.13,278.2638418,260.7393674,17.5244744,243.214893,72
ENSG00000011114.14,278.2471437,230.0406281,48.20651557,181.8341126,72
ENSG00000124532.14,278.1718852,208.841487,69.33039816,139.5110888,34
ENSG00000168564.5,278.1697633,143.7484014,134.4213619,9.327039441,72
ENSG00000123684.12,278.1175125,270.3413869,7.776125661,262.5652612,72
ENSG00000130803.14,277.8561414,189.3195229,88.5366185,100.7829044,34
