gene_id,module,kTotal_input,kWithin_input,kOut_input,kDiff_input,kTotal_output,kWithin_output,kOut_output,kDiff_output,gene
ENSG00000008952.16,72,35.96145388,33.63852205,2.322931835,31.31559021,78.40699525,78.40699525,5.68E-14,78.40699525,SEC62
ENSG00000008988.9,34,42.54187762,42.44337687,0.098500745,42.34487613,42.44337687,42.44337687,0,42.44337687,RPS20
ENSG00000009307.15,72,163.9786725,52.75640733,111.2222651,-58.4658578,87.85117984,87.85117984,0,87.85117984,CSDE1
ENSG00000009335.17,34,319.7934156,137.9829191,181.8104965,-43.82757748,137.9829191,137.9829191,0,137.9829191,UBE3C
ENSG00000009413.15,34,153.1095713,113.5055684,39.60400293,73.90156543,113.5055684,113.5055684,0,113.5055684,REV3L
ENSG00000009780.15,34,236.3527117,190.7671166,45.58559509,145.1815215,190.7671166,190.7671166,0,190.7671166,FAM76A
ENSG00000009790.14,34,60.39247965,52.58035058,7.812129069,44.76822151,52.58035058,52.58035058,0,52.58035058,TRAF3IP3
ENSG00000009844.15,72,254.3447914,226.6027453,27.74204602,198.8606993,330.3447692,330.3447692,0,330.3447692,VTA1
ENSG00000009954.10,34,258.7717048,248.0142942,10.75741059,237.2568836,248.0142942,248.0142942,0,248.0142942,BAZ1B
ENSG00000010017.12,72,80.44676512,66.90156765,13.54519747,53.35637018,107.4176325,107.4176325,0,107.4176325,RANBP9
ENSG00000010072.15,72,162.3581121,151.9845936,10.37351856,141.611075,278.9544886,278.9544886,0,278.9544886,SPRTN
ENSG00000010165.19,34,152.1027028,105.5206682,46.58203465,58.93863354,105.5206682,105.5206682,0,105.5206682,METTL13
ENSG00000010244.18,34,229.7471581,165.1378564,64.60930173,100.5285547,165.1378564,165.1378564,0,165.1378564,ZNF207
ENSG00000010256.10,34,52.14525066,38.69131143,13.45393923,25.2373722,38.69131143,38.69131143,0,38.69131143,UQCRC1
ENSG00000010270.13,72,144.8892825,109.0242842,35.86499829,73.15928596,190.7673998,190.7673998,0,190.7673998,STARD3NL
ENSG00000010292.12,34,76.71112375,69.56587567,7.145248084,62.42062758,69.56587567,69.56587567,0,69.56587567,NCAPD2
ENSG00000010295.19,34,126.7064558,104.5238595,22.18259631,82.34126321,104.5238595,104.5238595,0,104.5238595,IFFO1
ENSG00000010310.8,34,29.06884642,29.00541319,0.063433224,28.94197997,29.00541319,29.00541319,0,29.00541319,GIPR
ENSG00000010322.15,34,183.4479961,172.8741565,10.57383961,162.3003169,172.8741565,172.8741565,0,172.8741565,NISCH
ENSG00000010539.11,72,101.5894071,96.29512202,5.294285053,91.00083697,206.7492598,206.7492598,0,206.7492598,ZNF200
ENSG00000010610.9,34,33.09256213,33.06522801,0.027334127,33.03789388,33.06522801,33.06522801,0,33.06522801,CD4
ENSG00000010803.16,34,119.9654179,118.7301717,1.235246191,117.4949255,118.7301717,118.7301717,0,118.7301717,SCMH1
ENSG00000010810.17,34,104.0882504,103.8941797,0.194070723,103.700109,103.8941797,103.8941797,0,103.8941797,FYN
ENSG00000010818.9,34,40.42483958,33.98542156,6.43941802,27.54600354,33.98542156,33.98542156,0,33.98542156,HIVEP2
ENSG00000011007.12,34,199.9599033,157.3077501,42.65215315,114.655597,157.3077501,157.3077501,0,157.3077501,ELOA
