X,X_apo
0.05009,0.039331
1e-06,0.080703
0.036407,0.039086
0.110139,1e-06
0.035043,0.032647
1e-06,1e-06
1e-06,0.138286
0.046235,0.037751
0.126173,1e-06
0.074988,1e-06
0.038503,0.137714
0.063242,0.062388
0.133178,0.057869
0.030779,0.090301
0.016712,0.077344
0.207982,0.150049
0.019191,0.082221
0.060048,0.088069
0.01899,0.010875
0.018501,0.04045
0.021283,0.058933
0.010583,0.06244
0.067213,0.042858
0.051372,0.055646
0.098467,0.085911
0.049541,1e-06
0.017122,0.076914
0.158383,0.111435
0.079417,0.024725
1e-06,0.058339
0.039873,0.097042
0.079562,0.09326
1e-06,0.02682
0.081914,1e-06
0.083787,0.025027
1e-06,0.047033
1e-06,0.048999
0.045888,1e-06
0.069937,0.038818
0.022473,0.104065
0.161567,0.052485
0.070857,0.026054
0.089165,0.001239
0.094499,0.022814
0.131835,0.10307
0.11325,0.055623
0.109525,0.027693
0.040566,0.062111
1e-06,0.132363
0.030527,0.007966
1e-06,0.003382
0.022832,0.20015
0.0544,0.009206
0.192357,0.046121
0.081598,0.019077
0.023255,0.004175
1e-06,1e-06
0.07943,0.010419
0.043019,0.064131
1e-06,0.043564
0.20059,0.127873
0.116837,0.064126
0.062313,0.034861
0.045095,0.150434
0.108341,0.062581
0.09141,1e-06
0.128439,0.031833
0.070643,0.080726
0.081818,1e-06
0.103333,0.064592
0.117248,0.099721
0.055174,1e-06
0.046677,1e-06
0.073927,0.063806
0.089803,0.055153
0.140432,0.017629
1e-06,0.131147
0.001191,0.068043
0.022721,0.081928
0.141418,0.094479
0.033135,0.117489
1e-06,0.117894
1e-06,0.098544
1e-06,0.051494
0.001329,1e-06
0.070247,0.031336
0.065298,0.004153
0.102567,0.023471
0.108034,0.056681
0.048547,0.174037
0.065032,0.075018
0.173475,0.037135
0.09258,1e-06
0.072792,0.065886
0.053003,0.040107
0.073124,1e-06
0.09161,0.072663
0.082906,0.105674
1e-06,0.060395
0.037724,0.071431
0.01227,0.107763
0.074826,0.096866
0.026989,0.139967
0.116086,0.071161
1e-06,0.090824
0.033574,0.107032
1e-06,0.119541
0.035756,0.049086
0.046106,0.020237
1e-06,0.052381
0.012346,0.090871
0.117447,0.105184
0.136194,0.031603
0.052149,1e-06
0.197366,0.029563
0.017801,0.121437
0.060893,0.03107
0.007751,0.003764
0.048519,1e-06
0.121379,1e-06
0.040583,1e-06
0.000774,0.095556
0.035803,0.069445
0.015446,0.097651
1e-06,0.135822
0.024474,0.027665
0.041709,0.049502
0.026736,0.178042
0.020809,0.098545
0.008264,0.065707
1e-06,0.057253
0.020253,0.069445
0.066284,0.088257
0.070342,0.082663
0.056404,0.008994
0.082549,0.041367
0.010715,0.020821
0.084088,0.087752
0.041157,0.01966
1e-06,0.103403
0.135451,1e-06
0.096227,0.032174
0.097115,1e-06
0.052225,0.042559
0.009598,0.039818
0.051738,1e-06
1e-06,0.013484
0.049852,0.129115
0.127201,0.12911
0.041924,0.076416
0.063048,0.195715
0.139923,0.023239
0.128373,0.061099
0.141957,1e-06
0.087721,0.006234
0.112761,0.108234
0.143261,0.066869
0.09778,0.013273
0.280503,0.035928
0.143142,0.014755
0.135105,1e-06
0.080232,0.010199
0.205699,0.068996
0.072152,0.026747
0.15182,0.043495
1e-06,0.009152
1e-06,1e-06
0.047167,1e-06
0.10165,0.056189
0.028109,0.062289
0.084122,0.064171
1e-06,0.074624
0.091987,0.002647
0.08058,0.04695
0.090434,0.036603
0.203446,0.029066
0.123734,0.133217
0.015034,0.101266
0.222582,0.042989
1e-06,0.003396
0.009019,0.041167
0.104268,1e-06
0.062891,0.004551
0.133819,0.122518
0.104397,0.056355
0.066125,0.097111
0.065048,0.150572
0.128426,0.100058
0.031811,0.131798
0.082293,0.084156
0.011605,0.049909
0.078321,0.091988
0.204196,0.099873
0.091041,0.266041
0.082033,0.158446
0.124884,0.138839
0.007072,0.07255
0.11741,0.212967
0.0509,0.039645
0.202916,0.128266
0.003592,1e-06
0.13529,1e-06
0.012848,0.035092
0.004495,0.092946
0.333021,0.031491
0.011894,0.060804
0.157976,1e-06
0.13015,0.082514
1e-06,0.094079
0.035161,0.084395
0.027965,0.185571
0.073208,0.111836
0.037315,0.012198
0.158342,0.149538
0.143967,1e-06
0.07023,0.026455
0.125626,0.129168
0.146834,0.070571
0.076563,0.129496
0.102799,0.091553
0.07559,0.11068
0.039012,0.050296
0.044595,0.117451
1e-06,0.027739
0.19827,0.102567
0.230297,0.037226
0.093307,0.081781
0.087695,0.214345
0.079618,0.10277
