File_name,Source,Variance(value),SE
X_apo.ENSG00000068903.19.hsq,V(G)/Vp,0.023217,0.058005
X_apo.ENSG00000068912.13.hsq,V(G)/Vp,0.049947,0.051008
X_apo.ENSG00000069248.11.hsq,V(G)/Vp,0.080551,0.057322
X_apo.ENSG00000069275.12.hsq,V(G)/Vp,0.032328,0.059341
X_apo.ENSG00000069424.14.hsq,V(G)/Vp,0.025654,0.047496
X_apo.ENSG00000069493.14.hsq,V(G)/Vp,0.134461,0.068001
X_apo.ENSG00000069667.15.hsq,V(G)/Vp,0.096141,0.067887
X_apo.ENSG00000069702.10.hsq,V(G)/Vp,0.112071,0.072086
X_apo.ENSG00000130038.9.hsq,V(G)/Vp,0.104998,0.072029
X_apo.ENSG00000069956.11.hsq,V(G)/Vp,0.096557,0.064051
X_apo.ENSG00000069966.18.hsq,V(G)/Vp,0.034612,0.050544
X_apo.ENSG00000069998.12.hsq,V(G)/Vp,0.165923,0.076150
X_apo.ENSG00000070047.11.hsq,V(G)/Vp,0.174875,0.083584
X_apo.ENSG00000070061.14.hsq,V(G)/Vp,0.056509,0.057126
X_apo.ENSG00000070366.13.hsq,V(G)/Vp,0.136260,0.082094
X_apo.ENSG00000070423.17.hsq,V(G)/Vp,0.088925,0.078834
X_apo.ENSG00000070610.14.hsq,V(G)/Vp,0.121407,0.070717
X_apo.ENSG00000070718.11.hsq,V(G)/Vp,0.000001,0.059499
X_apo.ENSG00000070756.15.hsq,V(G)/Vp,0.015194,0.050035
X_apo.ENSG00000070761.7.hsq,V(G)/Vp,0.122323,0.064511
X_apo.ENSG00000070770.8.hsq,V(G)/Vp,0.080416,0.066026
X_apo.ENSG00000070785.16.hsq,V(G)/Vp,0.088742,0.062008
X_apo.ENSG00000130348.11.hsq,V(G)/Vp,0.048447,0.054187
X_apo.ENSG00000070814.17.hsq,V(G)/Vp,0.102765,0.063345
X_apo.ENSG00000070882.12.hsq,V(G)/Vp,0.088775,0.065168
X_apo.ENSG00000070950.9.hsq,V(G)/Vp,0.160213,0.069919
X_apo.ENSG00000070961.15.hsq,V(G)/Vp,0.044249,0.060874
