module,variable,value
34,Before,176.1886573
34,Before,96.58198856
34,Before,41.1949475
72,Before,158.0849254
34,Before,89.13558473
34,Before,46.53408105
72,Before,47.75626051
34,Before,95.55677303
72,Before,91.58799396
34,Before,91.12854947
72,Before,114.3543156
34,Before,174.282337
72,Before,180.581198
34,Before,231.4107122
34,Before,38.80318295
34,Before,117.7515767
34,Before,113.4525518
34,Before,197.6691053
72,Before,149.261743
34,Before,129.0840963
34,Before,56.04584092
72,Before,89.98690211
72,Before,77.58816274
72,Before,148.5655645
34,Before,155.88357
34,Before,87.76777907
34,Before,45.44441425
72,Before,186.6004174
34,Before,220.8032891
34,Before,67.33191487
34,Before,241.7128281
72,Before,46.34812146
34,Before,83.81479004
34,Before,94.00439231
34,Before,138.617176
34,Before,44.08018163
34,Before,134.6078249
34,Before,107.4944675
34,Before,137.3590906
34,Before,171.7860996
34,Before,13.95561962
72,Before,34.06120831
72,Before,155.4114469
34,Before,77.02166486
34,Before,150.7681729
34,Before,14.53964919
34,Before,17.28415485
72,Before,204.8652218
72,Before,74.46599973
72,Before,138.6569542
72,Before,237.8303714
72,Before,119.4345594
72,Before,89.65691282
72,Before,128.6471826
34,Before,123.5191403
66,Before,2.369936667
34,Before,133.8353572
72,Before,89.03640072
72,Before,36.4447948
34,Before,192.5122115
72,Before,90.58936537
34,Before,112.799413
72,Before,150.6791628
72,Before,144.9401275
72,Before,111.9210205
72,Before,65.65821766
72,Before,106.1777057
72,Before,258.9482428
72,Before,60.61653096
72,Before,200.7591356
72,Before,62.79148249
34,Before,26.32087116
72,Before,139.8569975
34,Before,159.4616693
72,Before,166.518225
72,Before,181.6464136
72,Before,78.91186474
34,Before,62.6528343
34,Before,160.8510651
72,Before,156.9947033
72,Before,58.58603653
72,Before,156.2886865
72,Before,39.05185809
34,Before,329.8060801
72,Before,122.1168919
72,Before,71.11054538
72,Before,257.321718
34,Before,213.4188944
34,Before,86.12749322
72,Before,271.5087696
34,Before,116.8059144
34,Before,140.7283303
34,Before,92.83107867
72,Before,221.2818362
72,Before,162.0358262
72,Before,124.0302137
34,Before,21.121567
34,Before,45.09632271
72,Before,203.7370572
72,Before,245.5369312
72,Before,250.152314
34,Before,167.167195
34,Before,150.4730271
34,Before,118.751522
34,Before,145.334175
34,Before,153.2222291
34,Before,102.6053259
34,Before,111.4383129
34,Before,207.3279262
34,Before,130.318818
34,Before,55.4068407
66,Before,6.337241171
72,Before,73.52953622
34,Before,17.17116497
72,Before,106.3681721
34,Before,101.6298711
72,Before,43.12252266
72,Before,229.7336908
72,Before,327.919904
72,Before,225.5590973
72,Before,213.5977534
72,Before,200.0705965
72,Before,146.3071461
34,Before,231.0472185
72,Before,97.81449249
34,Before,136.5004447
34,Before,251.9679206
34,Before,167.3639915
34,Before,99.45160899
72,Before,111.3211155
34,Before,262.1862949
72,Before,118.8024031
34,Before,46.47305055
34,Before,120.509181
74,Before,4.886913256
