gene,beta,t,p,se.beta.,p_corr,gene_symbol
ENSG00000145425.9,-0.802670204432093,-2.46678283542028,0.0136568635530366,0.325391515177841,0.0834597430118035,RPS3A
ENSG00000145428.14,0.475278346701035,3.003409786743,0.00267908285168554,0.158246253574489,0.0365902083023875,RNF175
ENSG00000145439.11,0.321388413890613,3.1926929813863,0.00141570984076299,0.100663739283526,0.0287673644814097,CBR4
ENSG00000145476.15,0.0465345074099261,1.14767633363937,0.25114108172199,0.0405467169148306,0.439913223148958,CYP4V2
ENSG00000145491.11,0.158387406284857,1.63733621382407,0.101604792550953,0.096734809227078,0.254760224584014,ROPN1L
ENSG00000145494.11,0.287422395699562,1.74821455171348,0.0804703354190757,0.164409108377374,0.220539349647527,NDUFS6
ENSG00000145495.15,0.0540997753498287,0.441700626628288,0.658719380334362,0.122480639800759,0.787605611687506,06-Mar
ENSG00000145569.5,0.416094400924137,1.20163426455509,0.229545554955135,0.346273748342386,0.416799949556279,FAM105A
ENSG00000145592.13,0.0940066791175478,1.19522385486187,0.232039715975981,0.0786519435126333,0.418933629876085,RPL37
ENSG00000145604.15,0.371308836156641,2.89596575062868,0.00379153657685667,0.128215893463531,0.0441035412327831,SKP2
ENSG00000145649.7,-0.0822681563192108,-0.857906479587828,0.39097322042092,0.0958940843514034,0.575220931014537,GZMA
ENSG00000145675.14,-0.137768632765995,-1.79523230746932,0.0726594365796012,0.0767413956359797,0.208263971908587,PIK3R1
ENSG00000145703.15,0.0737902617801253,1.37428915267779,0.169395543284933,0.0536934033397162,0.346275612571222,IQGAP2
ENSG00000145715.14,0.454027808255537,1.40929940635529,0.158790686196363,0.322165613785177,0.332573491463062,RASA1
ENSG00000145725.19,0.00347986512935116,0.0864761719839294,0.931090348723571,0.0402407397265209,0.962915794032234,PPIP5K2
ENSG00000145734.18,-0.273408445905496,-1.60987576981539,0.107469674400779,0.169832015011226,0.263449213859507,BDP1
ENSG00000145740.18,0.238280218978181,1.42076533421748,0.155429142056491,0.167712579438335,0.327368632793365,SLC30A5
ENSG00000145741.15,0.215416295772482,0.999961726301192,0.317363291689571,0.215424540866475,0.509785797498214,BTF3
ENSG00000145743.15,-0.18194438147375,-1.03282632809662,0.301720548405171,0.176161641627641,0.49475161611733,FBXL17
ENSG00000145779.7,0.0765555072843369,0.403425557146969,0.686647402535492,0.189763652619677,0.807235494752422,TNFAIP8
ENSG00000145780.7,-0.0799910371191435,-1.53043614938945,0.125953597068955,0.0522668241671205,0.290814045210783,FEM1C
ENSG00000145781.8,0.00592086236512153,0.0657731526827575,0.947560292775362,0.0900194399024708,0.970795851061859,COMMD10
ENSG00000145782.12,-0.00956997152892785,-0.119465187864806,0.904910216681034,0.0801067800584534,0.947609944296802,ATG12
ENSG00000145817.16,0.284962734994203,2.40534131812759,0.0161829235534244,0.118470810294827,0.091481207999002,YIPF5
ENSG00000145819.15,0.0375982118080454,0.34310496945878,0.731529705440798,0.109582242039086,0.838887656890449,ARHGAP26
ENSG00000145833.15,0.113354769157294,1.39403258943177,0.163351622866969,0.0813142892186616,0.338483410844537,DDX46
ENSG00000145860.11,0.625839770534548,2.18401079056916,0.0289942394866484,0.286555255696082,0.123342247873332,RNF145
ENSG00000145868.16,0.123780700323104,1.49375843995044,0.135283443933507,0.0828652725987017,0.302109659768609,FBXO38
ENSG00000145882.10,0.3053772049372,3.77178769471939,0.000163406719728034,0.0809635190667641,0.0130503096525836,PCYOX1L
ENSG00000145907.14,0.269407031608845,2.16464539271984,0.030448248030679,0.124457813051005,0.126787989498184,G3BP1
ENSG00000145912.8,0.126899550172614,1.35486803609818,0.175502944128606,0.0936619263216698,0.354006137739037,NHP2
ENSG00000145916.18,0.137176909045347,1.04923241043884,0.294107070350305,0.130740251330945,0.487736492324554,RMND5B
ENSG00000145919.10,0.283479221722814,1.65133265323408,0.0987151303884232,0.171666938922106,0.251333731959025,BOD1
ENSG00000145982.11,-0.0570075006253935,-0.248520894335608,0.803738632148081,0.229387153856003,0.884927578978894,FARS2
ENSG00000145996.11,0.39062185589226,1.2341520671831,0.217187312489682,0.316510312042694,0.403931931650074,CDKAL1
ENSG00000146007.10,0.048923046814042,0.272790177021615,0.785022486912031,0.179343139654789,0.873325518995058,ZMAT2
ENSG00000146063.19,0.419689497259075,3.4609173966564,0.000541523470496885,0.121265389825408,0.0188703646804212,TRIM41
ENSG00000146066.2,0.00735114817522889,0.113664126812689,0.909507281831044,0.0646743029781338,0.950600527238599,HIGD2A
ENSG00000146067.15,-0.0348784482034604,-0.247567021248994,0.804476626902059,0.140884872417562,0.885307319009134,FAM193B
ENSG00000146083.11,0.0956053332498009,1.03667983888475,0.299920586101315,0.0922226223215186,0.493194403975105,RNF44
ENSG00000146085.7,0.116951049568462,1.09956916433231,0.271557365314267,0.10636079417476,0.463384718599403,MUT
ENSG00000146094.13,-0.0012047614146289,-0.00950335085334801,0.992417805647917,0.126772275718355,0.99631107152762,DOK3
ENSG00000146109.4,0.0337522522997621,0.4975508881165,0.618816117956382,0.0678367843488989,0.758719148067797,ABT1
ENSG00000146112.11,0.0708998578508316,0.574425524114182,0.565698181262382,0.123427415521213,0.718440199497154,PPP1R18
ENSG00000146143.17,-0.513283750422985,-1.60657602999127,0.108192112154722,0.319489237260544,0.264473778145746,PRIM2
ENSG00000146223.14,0.177435352011694,3.35237967253739,0.000805411045279827,0.0529281791872323,0.0219609971621515,RPL7L1
ENSG00000146247.13,-0.0755118106086919,-1.23027256039061,0.218636034969496,0.0613781149314728,0.405988773325443,PHIP
ENSG00000146278.10,-0.0411957868822033,-0.296249248513643,0.767048452174595,0.139057861206038,0.86164057268282,PNRC1
ENSG00000146281.5,0.367979162740212,1.91672676130636,0.0553129661181147,0.191983109000582,0.177840054494175,PM20D2
ENSG00000146282.17,0.465103839693374,2.7537071063891,0.00590751899658553,0.168900983918823,0.053632675236185,RARS2
ENSG00000146376.10,-0.0652624953750758,-0.455712092884807,0.648611036472265,0.143209926605069,0.780540725993909,ARHGAP18
ENSG00000146386.7,0.182999876227516,2.3631777918108,0.0181459150906913,0.0774380484031594,0.0959538450392747,ABRACL
ENSG00000146425.10,0.201720218891918,1.27255474520553,0.203217981370606,0.158515945700504,0.38674228432347,DYNLT1
ENSG00000146433.8,0.118468637251768,1.59202543325707,0.111423746691051,0.074413784338481,0.269079640711594,TMEM181
ENSG00000146457.14,0.0461602015458207,0.237662576886291,0.81214970588002,0.194225789144354,0.890201342082774,WTAP
ENSG00000146463.11,-0.0485743352374114,-0.253808955675437,0.799650543155647,0.19138148655214,0.8820498784889,ZMYM4
ENSG00000146476.10,0.0243518482507313,0.381425335450948,0.702899139381177,0.0638443385569574,0.819365274361916,ARMT1
ENSG00000146574.15,-0.0422246474568322,-1.85828395481901,0.0631702819488787,0.0227223871504314,0.192268811198319,CCZ1B
ENSG00000146576.12,0.787265630415092,5.11214571854695,3.26890045473118e-07,0.153999059056333,0.00116606387596923,C7orf26
ENSG00000146587.17,0.224580991802934,0.912899213200112,0.361326714951492,0.246008528165644,0.549484482780546,RBAK
ENSG00000146592.16,0.09398574128172,1.45807701448867,0.144863784899262,0.0644586948067896,0.313335851701019,CREB5
ENSG00000146670.9,-0.128163881439558,-1.83488068876836,0.066565407639206,0.0698486186181331,0.19908843066379,CDCA5
ENSG00000146676.8,0.168793348345024,1.44825626066764,0.147589790260552,0.116549365557178,0.316556519759995,PURB
ENSG00000146701.11,-0.318859802169982,-1.95584526898247,0.0505227553608062,0.163029155335928,0.169351325249605,MDH2
ENSG00000146729.9,-0.27383397776566,-1.03755353401724,0.299513483991592,0.263922745947785,0.49290914799179,GBAS
ENSG00000146731.10,-0.198109471116012,-1.20051087227192,0.22998125993264,0.165020972064249,0.416939680670443,CCT6A
ENSG00000146757.13,0.231831093215019,1.57706269884353,0.114825889618002,0.147001823950958,0.274623016963148,ZNF92
ENSG00000146776.14,-0.262465759237216,-0.903885979183614,0.366086696194104,0.290374853999034,0.553319297735976,ATXN7L1
ENSG00000146802.12,0.274024425553009,2.57902032771799,0.00992814047076002,0.106251363204832,0.071005713812274,TMEM168
ENSG00000146826.16,0.222982202812434,2.97288223615298,0.00296013641441307,0.0750053937894901,0.0379850737005495,C7orf43
ENSG00000146828.17,0.16968594951883,2.72316270253201,0.00648190867784711,0.062312086369667,0.055988634660525,SLC12A9
ENSG00000146830.9,0.31453524196076,2.29583463275637,0.0217144962880399,0.13700256868376,0.105750945602932,GIGYF1
ENSG00000146833.15,0.174487197786435,2.63517818525859,0.00842768245648875,0.0662145727991113,0.0647413617600247,TRIM4
