gene_id,gene,module,kTotal_input
ENSG00000126698.10,DNAJC8,34,222.4506879
ENSG00000126749.14,EMG1,34,165.9931368
ENSG00000126777.17,KTN1,34,192.1649813
ENSG00000126804.13,ZBTB1,34,171.3115377
ENSG00000127054.20,INTS11,34,181.5959348
ENSG00000127334.10,DYRK2,34,171.7336192
ENSG00000127463.13,EMC1,34,166.5279588
ENSG00000127483.17,HP1BP3,34,186.7980764
ENSG00000127804.12,METTL16,34,189.0422299
ENSG00000127837.9,AAMP,34,168.6911218
ENSG00000127980.15,PEX1,34,240.8939645
ENSG00000127995.16,CASD1,34,171.0104177
ENSG00000128159.11,TUBGCP6,34,170.4239666
ENSG00000128463.12,EMC4,34,198.0106564
ENSG00000128534.7,LSM8,34,181.4192849
ENSG00000128563.13,PRKRIP1,34,202.8793406
ENSG00000128789.20,PSMG2,34,180.2527774
ENSG00000128908.15,INO80,34,274.7183327
ENSG00000128915.11,ICE2,34,217.4562882
ENSG00000128928.8,IVD,34,171.1802272
ENSG00000129003.15,VPS13C,34,191.4174182
ENSG00000129103.17,SUMF2,34,189.8512248
ENSG00000129187.14,DCTD,34,249.6431068
ENSG00000129197.14,RPAIN,34,229.0477283
ENSG00000129245.11,FXR2,34,174.7242828
ENSG00000129315.10,CCNT1,34,165.3431373
ENSG00000129347.19,KRI1,34,200.4359902
ENSG00000129351.17,ILF3,34,228.9736118
ENSG00000130024.14,PHF10,34,207.7727521
ENSG00000130299.16,GTPBP3,34,159.1976983
ENSG00000130311.10,DDA1,34,193.9836718
ENSG00000130348.11,QRSL1,34,167.4739238
ENSG00000130414.11,NDUFA10,34,210.3455202
ENSG00000130559.18,CAMSAP1,34,175.4961771
ENSG00000130638.16,ATXN10,34,198.5555363
ENSG00000130713.15,EXOSC2,34,219.0952642
ENSG00000130717.12,UCK1,34,214.3888141
ENSG00000130764.9,LRRC47,34,220.7163109
ENSG00000130803.14,ZNF317,34,277.8561414
ENSG00000130810.19,PPAN,34,170.5003106
ENSG00000130816.14,DNMT1,34,159.2356323
ENSG00000130935.9,NOL11,34,202.8701211
ENSG00000131023.12,LATS1,34,208.1442183
ENSG00000131115.15,ZNF227,34,176.926652
ENSG00000131148.8,EMC8,34,171.244577
ENSG00000131368.7,MRPS25,34,202.4175983
ENSG00000131373.14,HACL1,34,161.8744878
ENSG00000131375.9,CAPN7,34,173.0158823
ENSG00000131508.15,UBE2D2,34,163.3242422
ENSG00000131778.18,CHD1L,34,163.7646741
ENSG00000131791.7,PRKAB2,34,194.1446158
ENSG00000131844.15,MCCC2,34,203.4217318
ENSG00000131876.16,SNRPA1,34,173.3404351
ENSG00000131899.10,LLGL1,34,211.6362457
ENSG00000132128.16,LRRC41,34,164.374206
ENSG00000132153.14,DHX30,34,275.1946498
ENSG00000132182.11,NUP210,34,178.6679361
ENSG00000132254.12,ARFIP2,34,178.2337773
ENSG00000132275.10,RRP8,34,160.7090539
ENSG00000132286.11,TIMM10B,34,232.4256197
ENSG00000132300.18,PTCD3,34,293.8352834
ENSG00000132305.20,IMMT,34,181.9217534
ENSG00000132323.8,ILKAP,34,166.4713495
ENSG00000132330.16,SCLY,34,158.7920697
ENSG00000132361.16,CLUH,34,171.2748496
ENSG00000132382.14,MYBBP1A,34,164.5259719
ENSG00000132463.13,GRSF1,34,282.4915432
ENSG00000132478.9,UNK,34,269.2387399
ENSG00000132600.16,PRMT7,34,171.7100569
ENSG00000132603.13,NIP7,34,220.121832
ENSG00000132604.10,TERF2,34,230.5812256
ENSG00000132612.15,VPS4A,34,199.8677696
